ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R11979,"11-hydroxysugiol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11,20-dihydroxysugiol forming)","11-Hydroxysugiol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11,20-Dihydroxysugiol + [Oxidized NADPH---hemoprotein reductase] + H2O",C21823 + C03024 + C00007 <=> C21824 + C03161 + C00001,1.14.14.67,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.67///     R11979  11-Hydroxysugiol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11,20-Dihydroxysugiol + [Oxidized NADPH---hemoprotein reductase] + H2O",55467,,RC00257  C21823_C21824,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,11-hydroxysugiol 20-monooxygenase [EC:1.14.14.67],,,
R11980,"9beta-pimara7,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (9beta-pimara-7,15-diene-3beta-ol forming)","9beta-Pimara-7,15-diene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 9beta-Pimara-7,15-diene-3beta-ol + [Oxidized NADPH---hemoprotein reductase] + H2O",C18225 + C03024 + C00007 <=> C21825 + C03161 + C00001,1.14.14.68,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.68///     R11980  9beta-Pimara-7,15-diene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 9beta-Pimara-7,15-diene-3beta-ol + [Oxidized NADPH---hemoprotein reductase] + H2O",55475,,RC01218  C18225_C21825,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,ent-sandaracopimaradiene 3-hydroxylase / syn-pimaradiene 3-monooxygenase [EC:1.14.14.70 1.14.14.68],,,
R11981,"ent-cassa-12,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ent-3beta-hydroxycassa-12,15-dien-2-one forming)","ent-Cassa-12,15-diene + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O",C18226 + 3 C03024 + 3 C00007 <=> C21826 + 3 C03161 + 4 C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11981  ent-Cassa-12,15-diene + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O",55483,"three-step reaction (see R11982+R11983+R11984, R11982+R11985+R11986)",RC03513  C18226_C21826,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,ent-cassadiene hydroxylase [EC:1.14.14.69],,,
R11982,,"ent-Cassa-12,15-diene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-dien-2beta-ol + [Oxidized NADPH---hemoprotein reductase] + H2O",C18226 + C03024 + C00007 <=> C21827 + C03161 + C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11982  ent-Cassa-12,15-diene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-dien-2beta-ol + [Oxidized NADPH---hemoprotein reductase] + H2O",55487,"the first step of three-step reaction (see R11981, R11982+R11983+R11984, R11982+R11985+R11986)",RC00478  C18226_C21827,,,,,
R11983,,"ent-Cassa-12,15-dien-2beta-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",C21827 + C03024 + C00007 <=> C21828 + C03161 + 2 C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11983  ent-Cassa-12,15-dien-2beta-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",55491,"the second step of three-step reaction (see R11981, R11982+R11983+R11984)",RC00144  C21827_C21828,,,,,
R11984,,"ent-Cassa-12,15-dien-2-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + H2O",C21828 + C03024 + C00007 <=> C21826 + C03161 + C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11984  ent-Cassa-12,15-dien-2-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + H2O",55495,"the last step of three-step reaction (see R11981, R11982+R11983+R11984)",RC03493  C21826_C21828,,,,,
R11985,,"ent-Cassa-12,15-dien-2beta-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-diene-2beta,3beta-diol + [Oxidized NADPH---hemoprotein reductase] + H2O",C21827 + C03024 + C00007 <=> C21829 + C03161 + C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11985  ent-Cassa-12,15-dien-2beta-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-diene-2beta,3beta-diol + [Oxidized NADPH---hemoprotein reductase] + H2O",55499,"the second step of three-step reaction (see R11981, R11982+R11985+R11986)",RC01993  C21827_C21829,,,,,
R11986,,"ent-Cassa-12,15-diene-2beta,3beta-diol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",C21829 + C03024 + C00007 <=> C21826 + C03161 + 2 C00001,1.14.14.69,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.69///     R11986  ent-Cassa-12,15-diene-2beta,3beta-diol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",55503,"the last step of three-step reaction (see R11981, R11982+R11985+R11986)",RC00154  C21826_C21829,,,,,
R11987,"11-hydroxyferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11,20-dihydroxyferruginol forming)","11-Hydroxyferruginol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11,20-Dihydroxyferruginol + [Oxidized NADPH---hemoprotein reductase] + H2O",C21796 + C03024 + C00007 <=> C21830 + C03161 + C00001,1.14.14.67,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.67///     R11987  11-Hydroxyferruginol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11,20-Dihydroxyferruginol + [Oxidized NADPH---hemoprotein reductase] + H2O",55471,,RC00257  C21796_C21830,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,11-hydroxysugiol 20-monooxygenase [EC:1.14.14.67],,,
R11988,"sugiol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxysugiol forming)",Sugiol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Hydroxysugiol + [Oxidized NADPH---hemoprotein reductase] + H2O,C21822 + C03024 + C00007 <=> C21823 + C03161 + C00001,1.14.14.60,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.60///     R11988  Sugiol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Hydroxysugiol + [Oxidized NADPH---hemoprotein reductase] + H2O",,,RC00236  C21822_C21823,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,ferruginol monooxygenase / sugiol synthase [EC:1.14.14.60 1.14.14.65],,,
