ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R00001,polyphosphate polyphosphohydrolase,Polyphosphate + n H2O <=> (n+1) Oligophosphate,C00404 + n C00001 <=> (n+1) C02174,3.6.1.10,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.10///     R00001  Polyphosphate + n H2O <=> (n+1) Oligophosphate,22455,,,,,,,
R00002,reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139,1.18.6.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.18  Acting on iron-sulfur proteins as donors///   1.18.6  With dinitrogen as acceptor///    1.18.6.1///     R00002  16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",RC00002  C00002_C00008,,,,,
R00004,diphosphate phosphohydrolase;///pyrophosphate phosphohydrolase,Diphosphate + H2O <=> 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,3.6.1.1,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.1///     R00004  Diphosphate + H2O <=> 2 Orthophosphate,24579,,,,,,,
R00005,urea-1-carboxylate amidohydrolase,Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,C01010 + C00001 <=> 2 C00011 + 2 C00014,3.5.1.54,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.1  In linear amides///    3.5.1.54///     R00005  Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia",19032,"The yeast enzyme (but not that from green algae) also catalyses the///reaction of EC 6.3.4.6 urea carboxylase, thus bringing about the///hydrolysis of urea to CO2 and NH3 in the presence of ATP and///bicarbonate.///R00774 (6.3.4.6)",RC02756  C00011_C01010,rn00220: Arginine biosynthesis///rn00791: Atrazine degradation///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments,allophanate hydrolase [EC:3.5.1.54]///urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54],,,
R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating);///2-acetolactate pyruvate-lyase (carboxylating),2-Acetolactate + CO2 <=> 2 Pyruvate,C00900 + C00011 <=> 2 C00022,2.2.1.6,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.2  Transferring aldehyde or ketonic groups///   2.2.1  Transketolases and transaldolases///    2.2.1.6///     R00006  2-Acetolactate + CO2 <=> 2 Pyruvate///IUBMB reaction hierarchy [BR:br08202]/// 2. Transferase reactions///  2.2.1.6///   R00006  2-Acetolactate,,TPP-dependent enzymatic reaction (R00014+R03050),RC00106  C00022_C00900,,acetolactate synthase I/II/III large subunit [EC:2.2.1.6]///acetolactate synthase I/III small subunit [EC:2.2.1.6]///acetolactate synthase II small subunit [EC:2.2.1.6],,,
R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),Parapyruvate <=> 2 Pyruvate,C06033 <=> 2 C00022,4.1.3.17,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.3  Oxo-acid-lyases///    4.1.3.17///     R00008  Parapyruvate <=> 2 Pyruvate,22751,,RC00502  C00022_C06033///RC01205  C00022_C06033,rn00362: Benzoate degradation///rn00660: C5-Branched dibasic acid metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments,4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17],,,
R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2 Hydrogen peroxide <=> Oxygen + 2 H2O,2 C00027 <=> C00007 + 2 C00001,1.11.1.6///1.11.1.21,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.6///     R00009  2 Hydrogen peroxide <=> Oxygen + 2 H2O///    1.11.1.21///     R00009  2 Hydrogen peroxide <=> Oxygen + 2 H2O,20312,,RC02755  C00007_C00027,rn00630: Glyoxylate and dicarboxylate metabolism///rn01110: Biosynthesis of secondary metabolites///rn01200: Carbon metabolism,catalase [EC:1.11.1.6],Photorespiration,,
R00010,"alpha,alpha-trehalose glucohydrolase","alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",C01083 + C00001 <=> 2 C00031,3.2.1.28,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds///    3.2.1.28///     R00010  alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",32678,,RC00049  C00031_C01083,rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,"alpha,alpha-trehalase [EC:3.2.1.28]///alpha,alpha-trehalase [EC:3.2.1.28]",,Same as: R06103,
R00011,Mn(II):hydrogen-peroxide oxidoreductase,2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,1.11.1.13///1.11.1.16,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.13///     R00011  2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O///    1.11.1.16///     R00011  2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,22779,,,,,,,
R00012,GTP:GTP guanylyltransferase,"2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",2 C00044 <=> C00013 + C01261,2.7.7.45,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.7  Transferring phosphorus-containing groups///   2.7.7  Nucleotidyltransferases///    2.7.7.45///     R00012  2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",18156,,RC00002  C00044_C01261,,,,,
R00013,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,2 C00048 <=> C01146 + C00011,4.1.1.47,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.1  Carboxy-lyases///    4.1.1.47///     R00013  2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,10139,,RC00899  C00048_C01146,rn00630: Glyoxylate and dicarboxylate metabolism///rn01100: Metabolic pathways,tartronate-semialdehyde synthase [EC:4.1.1.47],,,
R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,C00022 + C00068 <=> C05125 + C00011,1.2.4.1///2.2.1.6///4.1.1.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.1///     R00014  Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2/// 2. Transferase reactions///  2.2  Transferring aldehyde or ketonic groups///   2.2.1  Transketolases and transaldolases///    2.2.1.6///     R00014  Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.1  Carboxy-lyases///    4.1.1.1///     R00014  Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,,"2-oxoglutarate dehydrogenase complex: pyruvate dehydrogenase (see R01699), subsequently R03270///TPP-dependent enzymatic reaction (see R00006), subsequently R03050///TPP-dependent enzymatic reaction (see R00226), subsequently R04672///TPP-dependent enzymatic reaction (see R00224), subsequently R00755///TPP-dependent enzymatic reaction (see R08648), subsequently R04673",RC00027  C00068_C05125///RC02744  C00022_C05125,rn00010: Glycolysis / Gluconeogenesis///rn00020: Citrate cycle (TCA cycle)///rn00620: Pyruvate metabolism///rn00785: Lipoic acid metabolism,pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]///pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]///pyruvate dehydrogenase E1 component [EC:1.2.4.1]///pyruvate decarboxylase [EC:4.1.1.1]///acetolactate synthase I/II/III large subunit [EC:2.2.1.6]///acetolactate synthase I/III small subunit [EC:2.2.1.6]///acetolactate synthase II small subunit [EC:2.2.1.6],"Pyruvate oxidation, pyruvate => acetyl-CoA",,
R00015,sucrose:sucrose 1'-beta-D-fructosyltransferase;///sucrose:sucrose 1F-beta-D-fructosyltransferase,2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose,2 C00089 <=> C00031 + C03661,2.4.1.99,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.99///     R00015  2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose,23315,,RC00077  C00031_C00089///RC00247  C00089_C03661,,,,Same as: R06135,
R00017,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O,C00027 + 2 C00126 <=> 2 C00125 + 2 C00001,1.11.1.5,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.5///     R00017  Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O,16584,,RC00016  C00125_C00126,,,,,
R00018,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),2 Putrescine <=> sym-Homospermidine + Ammonia,2 C00134 <=> C06366 + C00014,2.5.1.44,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.44///     R00018  2 Putrescine <=> sym-Homospermidine + Ammonia",18648,homospermidine synthase,RC00053  C00134_C06366,"rn00960: Tropane, piperidine and pyridine alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites",homospermidine synthase [EC:2.5.1.44],,,
R00019,hydrogen:ferredoxin oxidoreductase;///reduced ferredoxin:H+ oxidoreductase,2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin,2 C00138 + 2 C00080 <=> C00282 + 2 C00139,1.12.7.2///1.12.99.-,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.12  Acting on hydrogen as donor///   1.12.7  With an iron-sulfur protein as acceptor///    1.12.7.2///     R00019  2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin///   1.12.99  With unknown physiological acceptors///    1.12.99.-///     R00019  2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin,17448,,,,ferredoxin hydrogenase [EC:1.12.7.2]///ferredoxin hydrogenase large subunit [EC:1.12.7.2]///ferredoxin hydrogenase small subunit [EC:1.12.7.2]///ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]///F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]///F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]///F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]///membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]///membrane-bound hydrogenase subunit beta [EC:1.12.7.2]///membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2],,,
R00021,L-glutamate:ferredoxin oxidoreductase (transaminating),2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+,2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080,1.4.7.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.4  Acting on the CH-NH2 group of donors///   1.4.7  With an iron-sulfur protein as acceptor///    1.4.7.1///     R00021  2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+,12131,two-step reaction (see R00256+R10086),RC00006  C00025_C00026///RC00010  C00025_C00064,rn00630: Glyoxylate and dicarboxylate metabolism///rn00910: Nitrogen metabolism///rn01120: Microbial metabolism in diverse environments,glutamate synthase (ferredoxin) [EC:1.4.7.1],,,
R00022,chitobiose N-acetylglucosaminohydrolase,Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine,C01674 + C00001 <=> 2 C00140,3.2.1.52,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds///    3.2.1.52///     R00022  Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine",30674,,RC00049  C00140_C01674,rn00520: Amino sugar and nucleotide sugar metabolism///rn01100: Metabolic pathways,beta-N-acetylhexosaminidase [EC:3.2.1.52]///hexosaminidase [EC:3.2.1.52],,Same as: R06141,
R00023,hydroxylamine:NAD+ oxidoreductase;///NADH:hyponitrite oxidoreductase,2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+,2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080,1.7.1.5,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.7  Acting on other nitrogenous compounds as donors///   1.7.1  With NAD+ or NADP+ as acceptor///    1.7.1.5///     R00023  2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+,19340,,RC00001  C00003_C00004,,,,,
R00024,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)","D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate",C01182 + C00011 + C00001 <=> 2 C00197,4.1.1.39,"Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.1  Carboxy-lyases///    4.1.1.39///     R00024  D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate///Overall reaction [br08210.html]/// Oxygenic photosynthesis///  R00024/// Carbon fixation///  R00024",23127,"multi-step reaction (isomerization, carboxylation, hydration and cleavage)",RC00172  C00197_C01182,rn00710: Carbon fixation by Calvin cycle///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01200: Carbon metabolism,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]///ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],Reductive pentose phosphate cycle (Calvin cycle),,
R00025,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O,C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001,1.13.12.16,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.13  Acting on single donors with incorporation of molecular oxygen (oxygenases)///   1.13.12  With incorporation of one atom of oxygen (internal monooxygenases or internal mixed-function oxidases)///    1.13.12.16///     R00025  Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O,26461,Previously classified as 2-nitropropane dioxygenase (EC 1.13.11.32).,RC00126  C00061_C01847///RC02541  C00084_C18091///RC02759  C00088_C18091,rn00910: Nitrogen metabolism///rn01100: Metabolic pathways,nitronate monooxygenase [EC:1.13.12.16],,,
R00026,cellobiose glucohydrolase,Cellobiose + H2O <=> 2 beta-D-Glucose,C00185 + C00001 <=> 2 C00221,3.2.1.21,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds///    3.2.1.21///     R00026  Cellobiose + H2O <=> 2 beta-D-Glucose",30682,,RC00049  C00185_C00221,,beta-glucosidase [EC:3.2.1.21]///beta-glucosidase [EC:3.2.1.21]///beta-glucosidase [EC:3.2.1.21],,Same as: R06092,
R00027,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",Benzoin <=> 2 Benzaldehyde,C01408 <=> 2 C00261,4.1.2.38,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.2  Aldehyde-lyases///    4.1.2.38///     R00027  Benzoin <=> 2 Benzaldehyde,21463,,RC00906  C00261_C01408///RC02327  C00261_C01408,,,,,
R00028,maltose glucohydrolase,Maltose + H2O <=> 2 D-Glucose,C00208 + C00001 <=> 2 C00031,3.2.1.20,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds///    3.2.1.20///     R00028  Maltose + H2O <=> 2 D-Glucose",68799,,RC00049  C00031_C00208,rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways,alpha-glucosidase [EC:3.2.1.20]///maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]///lysosomal alpha-glucosidase [EC:3.2.1.20]///neutral alpha-glucosidase C [EC:3.2.1.20],,Same as: R06084,
R00029,thiosulfate:ferricytochrome-c oxidoreductase,2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c,2 C00320 + 2 C00125 <=> C02084 + 2 C00126,1.8.2.2,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.2  With a cytochrome as acceptor///    1.8.2.2///     R00029  2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c,20552,,RC00016  C00125_C00126///RC03109  C00320_C02084,,,,,
R00031,"1,2-benzenediol:oxygen oxidoreductase","Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine",C00007 + 2 C00082 <=> 2 C00355,1.10.3.1///1.14.18.1,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.1///     R00031  Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.18  With another compound as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.18.1///     R00031  Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine",,,RC00046  C00082_C00355,rn00350: Tyrosine metabolism///rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,polyphenol oxidase [EC:1.10.3.1],,,
R00032,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",beta-Carotene + Oxygen <=> 2 Retinal,C02094 + C00007 <=> 2 C00376,1.13.11.63,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.13  Acting on single donors with incorporation of molecular oxygen (oxygenases)///   1.13.11  With incorporation of two atoms of oxygen///    1.13.11.63///     R00032  beta-Carotene + Oxygen <=> 2 Retinal,32890,,RC00912  C00376_C02094,rn00830: Retinol metabolism///rn01100: Metabolic pathways///rn01240: Biosynthesis of cofactors,"beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]",,,
R00033,thiamine:oxygen 5-oxidoreductase,Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde,C00378 + C00007 <=> C00027 + C05856,1.1.3.23,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.23///     R00033  Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde,,"first step of two-step reaction (see R02132, R00033+R00072)///subsequently R00072 (without release of thiamine aldehyde from enzyme)",RC00087  C00378_C05856///RC02755  C00007_C00027,rn00730: Thiamine metabolism///rn01100: Metabolic pathways,,,,
R00034,cyclobutadipyrimidine (in DNA) pyrimidine-lyase,Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide,C03103 <=> 2 C08249,4.1.99.3,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.99  Other carbon-carbon lyases///    4.1.99.3///     R00034  Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide///IUBMB reaction hierarchy [BR:br08202]/// 4. Lyase reactions///  4.1.99.3///   R00034  Cyclobutadipyrimidine <=> Pyrimidine 5'-deoxynucleotide,,general reaction (see R08765),,,,,,
R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,2 C00430 <=> C00931 + 2 C00001,4.2.1.24,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.2  Carbon-oxygen lyases///   4.2.1  Hydro-lyases///    4.2.1.24///     R00036  2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,24067,,RC00918  C00430_C00931///RC01781  C00430_C00931,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01240: Biosynthesis of cofactors,porphobilinogen synthase [EC:4.2.1.24],"Heme biosynthesis, plants and bacteria, glutamate => heme///Siroheme biosynthesis, glutamyl-tRNA => siroheme///Heme biosynthesis, animals and fungi, glycine => heme///Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme",,
R00038,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),2 Propanal <=> 4-Hydroxyhexan-3-one,2 C00479 <=> C02948,4.1.2.35,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.2  Aldehyde-lyases///    4.1.2.35///     R00038  2 Propanal <=> 4-Hydroxyhexan-3-one,11103,,RC00919  C00479_C02948///RC02325  C00479_C02948,,,,,
R00039,raffinose:raffinose 1F-alpha-D-galactosyltransferase,2 Raffinose <=> Lychnose + Sucrose,2 C00492 <=> C08242 + C00089,2.4.1.166,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.166///     R00039  2 Raffinose <=> Lychnose + Sucrose,14128,,RC00059  C00089_C00492  C00492_C08242,,,,Same as: R06139,
R00041,long-chain-alcohol:oxygen oxidoreductase,2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O,2 C00339 + C00007 <=> 2 C00609 + 2 C00001,1.1.3.20,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.20///     R00041  2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O,,,,,,,,
R00042,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2,2 C01179 + C00007 <=> 2 C00642 + 2 C00011,1.2.3.13,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.3  With oxygen as acceptor///    1.2.3.13///     R00042  2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2,17200,,RC00866  C00642_C01179,rn00350: Tyrosine metabolism,,,,
R00043,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)","1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde",C04547 + C00007 <=> 2 C00755,1.13.11.43,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.13  Acting on single donors with incorporation of molecular oxygen (oxygenases)///   1.13.11  With incorporation of two atoms of oxygen///    1.13.11.43///     R00043  1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde",21343,,RC00924  C00755_C04547,,,,,
R00044,columbamine:oxygen oxidoreductase (cyclizing),2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O,2 C01795 + C00007 <=> 2 C00757 + 2 C00001,1.21.3.2,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.21  Catalysing the reaction X-H + Y-H = X-Y///   1.21.3  With oxygen as acceptor///    1.21.3.2///     R00044  2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O,23567,,RC00925  C00757_C01795,rn00950: Isoquinoline alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites,,,,
R00045,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase","Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O",C00007 + 2 C00355 <=> 2 C00822 + 2 C00001,1.10.3.1///1.14.18.1,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.1///     R00045  Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.18  With another compound as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.18.1///     R00045  Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O",34290,,RC00180  C00355_C00822,rn00350: Tyrosine metabolism///rn01100: Metabolic pathways,polyphenol oxidase [EC:1.10.3.1],,,
R00047,"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)","Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O",C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001,1.14.99.-,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.99  Miscellaneous///    1.14.99.-///     R00047  Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O",,the enzyme from Pseudomonas fluorescens TN5 uses NADH as hydrogen-donor (see R08764),RC00115  C01020_C01059,,,,,
