"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"30536","FZD6","frizzled class receptor 6 [KO:K02376]","frizzled class receptor 6","frizzled class receptor 6 [KO:K02376]","8323","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30537","FZD10","frizzled class receptor 10 [KO:K02842]","frizzled class receptor 10","frizzled class receptor 10 [KO:K02842]","11211","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30538","FZD9","frizzled class receptor 9 [KO:K02842]","frizzled class receptor 9","frizzled class receptor 9 [KO:K02842]","8326","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30539","LRP5","LDL receptor related protein 5 [KO:K03068]","LDL receptor related protein 5","LDL receptor related protein 5 [KO:K03068]","4041","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30540","LRP6","LDL receptor related protein 6 [KO:K03068]","LDL receptor related protein 6","LDL receptor related protein 6 [KO:K03068]","4040","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30541","CSNK1E","K08960","casein kinase 1 epsilon","2.7.11.1","1454","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30542","TPTEP2-CSNK1E","K08960","TPTEP2-CSNK1E readthrough","2.7.11.1","102800317","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30543","DVL3","dishevelled segment polarity protein 3 [KO:K02353]","dishevelled segment polarity protein 3","dishevelled segment polarity protein 3 [KO:K02353]","1857","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30544","DVL2","dishevelled segment polarity protein 2 [KO:K02353]","dishevelled segment polarity protein 2","dishevelled segment polarity protein 2 [KO:K02353]","1856","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30545","DVL1","dishevelled segment polarity protein 1 [KO:K02353]","dishevelled segment polarity protein 1","dishevelled segment polarity protein 1 [KO:K02353]","1855","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30546","FRAT1","FRAT regulator of WNT signaling pathway 1 [KO:K03069]","FRAT regulator of WNT signaling pathway 1","FRAT regulator of WNT signaling pathway 1 [KO:K03069]","10023","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30547","FRAT2","FRAT regulator of WNT signaling pathway 2 [KO:K03096]","FRAT regulator of WNT signaling pathway 2","FRAT regulator of WNT signaling pathway 2 [KO:K03096]","23401","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30548","CSNK2A1","K03097","casein kinase 2 alpha 1","2.7.11.1","1457","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30549","CSNK2A2","K03097","casein kinase 2 alpha 2","2.7.11.1","1459","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30550","CSNK2A3","K03097","casein kinase 2 alpha 3","2.7.11.1","283106","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30551","CSNK2B","casein kinase 2 beta [KO:K03115]","casein kinase 2 beta","casein kinase 2 beta [KO:K03115]","1460","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30552","AXIN1","axin 1 [KO:K02157]","axin 1","axin 1 [KO:K02157]","8312","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30553","AXIN2","axin 2 [KO:K04385]","axin 2","axin 2 [KO:K04385]","8313","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30554","APC","APC regulator of WNT signaling pathway [KO:K02085]","APC regulator of WNT signaling pathway","APC regulator of WNT signaling pathway [KO:K02085]","324","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30555","APC2","APC regulator of WNT signaling pathway 2 [KO:K02085]","APC regulator of WNT signaling pathway 2","APC regulator of WNT signaling pathway 2 [KO:K02085]","10297","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30556","CTNNB1","catenin beta 1 [KO:K02105]","catenin beta 1","catenin beta 1 [KO:K02105]","1499","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30557","CSNK1A1L","K08957","casein kinase 1 alpha 1 like","2.7.11.1","122011","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30558","CSNK1A1","K08957","casein kinase 1 alpha 1","2.7.11.1","1452","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30559","KIF5A","kinesin family member 5A [KO:K10396]","kinesin family member 5A","kinesin family member 5A [KO:K10396]","3798","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30560","KIF5B","kinesin family member 5B [KO:K10396]","kinesin family member 5B","kinesin family member 5B [KO:K10396]","3799","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30561","KIF5C","kinesin family member 5C [KO:K10396]","kinesin family member 5C","kinesin family member 5C [KO:K10396]","3800","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30562","KLC3","kinesin light chain 3 [KO:K10407]","kinesin light chain 3","kinesin light chain 3 [KO:K10407]","147700","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30563","KLC1","kinesin light chain 1 [KO:K10407]","kinesin light chain 1","kinesin light chain 1 [KO:K10407]","3831","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30564","KLC2","kinesin light chain 2 [KO:K10407]","kinesin light chain 2","kinesin light chain 2 [KO:K10407]","64837","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30565","KLC4","kinesin light chain 4 [KO:K10407]","kinesin light chain 4","kinesin light chain 4 [KO:K10407]","89953","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30566","TUBA1B","tubulin alpha 1b [KO:K07374]","tubulin alpha 1b","tubulin alpha 1b [KO:K07374]","10376","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
