"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"1","HK3","K00844","hexokinase 3","2.7.1.1","3101","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"2","HK1","K00844","hexokinase 1","2.7.1.1","3098","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"3","HK2","K00844","hexokinase 2","2.7.1.1","3099","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"4","HKDC1","K00844","hexokinase domain containing 1","2.7.1.1","80201","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"5","GCK","K12407","glucokinase","2.7.1.2","2645","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"6","GPI","K01810","glucose-6-phosphate isomerase","5.3.1.9","2821","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"7","PFKM","K00850","phosphofructokinase, muscle","2.7.1.11","5213","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"8","PFKP","K00850","phosphofructokinase, platelet","2.7.1.11","5214","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"9","PFKL","K00850","phosphofructokinase, liver type","2.7.1.11","5211","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"10","FBP1","K03841","fructose-bisphosphatase 1","3.1.3.11","2203","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"11","FBP2","K03841","fructose-bisphosphatase 2","3.1.3.11","8789","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"12","ALDOC","K01623","aldolase, fructose-bisphosphate C","4.1.2.13","230","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"13","ALDOA","K01623","aldolase, fructose-bisphosphate A","4.1.2.13","226","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"14","ALDOB","K01623","aldolase, fructose-bisphosphate B","4.1.2.13","229","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"15","TPI1","K01803","triosephosphate isomerase 1","5.3.1.1","7167","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"16","GAPDH","K00134","glyceraldehyde-3-phosphate dehydrogenase","1.2.1.12","2597","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"17","GAPDHS","K10705","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","1.2.1.12","26330","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"18","PGK2","K00927","phosphoglycerate kinase 2","2.7.2.3","5232","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"19","PGK1","K00927","phosphoglycerate kinase 1","2.7.2.3","5230","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"20","PGAM1","K01834","phosphoglycerate mutase 1","5.4.2.11","5223","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"21","PGAM2","K01834","phosphoglycerate mutase 2","5.4.2.11","5224","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"22","PGAM4","K01834","phosphoglycerate mutase family member 4","5.4.2.11","441531","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"23","ENO3","K01689","enolase 3","4.2.1.11","2027","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"24","ENO2","K01689","enolase 2","4.2.1.11","2026","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"25","ENO1","K01689","enolase 1","4.2.1.11","2023","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"26","ENO4","K27394","enolase 4","4.2.1.11","387712","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"27","PKM","K00873","pyruvate kinase M1/2","2.7.1.40","5315","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"28","PKLR","K12406","pyruvate kinase L/R","2.7.1.40","5313","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"29","PDHA2","K00161","pyruvate dehydrogenase E1 subunit alpha 2","1.2.4.1","5161","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"30","PDHA1","K00161","pyruvate dehydrogenase E1 subunit alpha 1","1.2.4.1","5160","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"31","PDHB","K00162","pyruvate dehydrogenase E1 subunit beta","1.2.4.1","5162","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"32","DLAT","K00627","dihydrolipoamide S-acetyltransferase","2.3.1.12","1737","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"33","DLD","K00382","dihydrolipoamide dehydrogenase","1.8.1.4","1738","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"34","LDHAL6A","K00016","lactate dehydrogenase A like 6A","1.1.1.27","160287","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"35","LDHAL6B","K00016","lactate dehydrogenase A like 6B","1.1.1.27","92483","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"36","LDHA","K00016","lactate dehydrogenase A","1.1.1.27","3939","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"37","LDHB","K00016","lactate dehydrogenase B","1.1.1.27","3945","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"38","LDHC","K00016","lactate dehydrogenase C","1.1.1.27","3948","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"39","ADH1A","K13951","alcohol dehydrogenase 1A (class I), alpha polypeptide","1.1.1.1","124","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"40","ADH1B","K13951","alcohol dehydrogenase 1B (class I), beta polypeptide","1.1.1.1","125","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"41","ADH1C","K13951","alcohol dehydrogenase 1C (class I), gamma polypeptide","1.1.1.1","126","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"42","ADH7","K13951","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","1.1.1.1","131","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"43","ADH4","K13980","alcohol dehydrogenase 4 (class II), pi polypeptide","1.1.1.1","127","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"44","ADH5","K00121","alcohol dehydrogenase 5 (class III), chi polypeptide","1.1.1.284 1.1.1.1","128","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"45","ADH6","K13952","alcohol dehydrogenase 6 (class V)","1.1.1.1","130","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"46","AKR1A1","K00002","aldo-keto reductase family 1 member A1","1.1.1.2","10327","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"47","ALDH2","K00128","aldehyde dehydrogenase 2 family member","1.2.1.3","217","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"48","ALDH3A2","K00128","aldehyde dehydrogenase 3 family member A2","1.2.1.3","224","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"49","ALDH1B1","K00128","aldehyde dehydrogenase 1 family member B1","1.2.1.3","219","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"50","ALDH7A1","K14085","aldehyde dehydrogenase 7 family member A1","1.2.1.31 1.2.1.8 1.2.1.3","501","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"51","ALDH9A1","K00149","aldehyde dehydrogenase 9 family member A1","1.2.1.47 1.2.1.3","223","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"52","ALDH3B1","K00129","aldehyde dehydrogenase 3 family member B1","1.2.1.5","221","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"53","ALDH3B2","K00129","aldehyde dehydrogenase 3 family member B2","1.2.1.5","222","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"54","ALDH3A1","K00129","aldehyde dehydrogenase 3 family member A1","1.2.1.5","218","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"55","ACSS1","K01895","acyl-CoA synthetase short chain family member 1","6.2.1.1","84532","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"56","ACSS2","K01895","acyl-CoA synthetase short chain family member 2","6.2.1.1","55902","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"57","GALM","K01785","galactose mutarotase","5.1.3.3","130589","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"58","PGM1","K01835","phosphoglucomutase 1","5.4.2.2","5236","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"59","PGM2","K15779","phosphoglucomutase 2","5.4.2.2 5.4.2.7","55276","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"60","G6PC1","K01084","glucose-6-phosphatase catalytic subunit 1","3.1.3.9","2538","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"61","G6PC2","K01084","glucose-6-phosphatase catalytic subunit 2","3.1.3.9","57818","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"62","G6PC3","K01084","glucose-6-phosphatase catalytic subunit 3","3.1.3.9","92579","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"63","ADPGK","K08074","ADP dependent glucokinase","2.7.1.147","83440","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"64","BPGM","K01837","bisphosphoglycerate mutase","5.4.2.4 5.4.2.11","669","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"65","MINPP1","K03103","multiple inositol-polyphosphate phosphatase 1","3.1.3.62 3.1.3.80","9562","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"66","PCK1","K01596","phosphoenolpyruvate carboxykinase 1","4.1.1.32","5105","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"67","PCK2","K01596","phosphoenolpyruvate carboxykinase 2, mitochondrial","4.1.1.32","5106","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"68","CS","K01647","citrate synthase","2.3.3.1","1431","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"69","ACLY","K01648","ATP citrate lyase","2.3.3.8","47","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"70","ACO2","K01681","aconitase 2","4.2.1.3","50","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"71","ACO1","K01681","aconitase 1","4.2.1.3","48","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"72","IDH1","K00031","isocitrate dehydrogenase (NADP(+)) 1","1.1.1.42","3417","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"73","IDH2","K00031","isocitrate dehydrogenase (NADP(+)) 2","1.1.1.42","3418","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"74","IDH3B","K00030","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta","1.1.1.41","3420","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"75","IDH3G","K00030","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma","1.1.1.41","3421","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"76","IDH3A","K00030","isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha","1.1.1.41","3419","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"77","OGDHL","K00164","oxoglutarate dehydrogenase L","1.2.4.2","55753","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"78","OGDH","K00164","oxoglutarate dehydrogenase","1.2.4.2","4967","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"79","DLST","K00658","dihydrolipoamide S-succinyltransferase","2.3.1.61","1743","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"80","DLD","K00382","dihydrolipoamide dehydrogenase","1.8.1.4","1738","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"81","SUCLG1","K01899","succinate-CoA ligase GDP/ADP-forming subunit alpha","6.2.1.4 6.2.1.5","8802","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"82","SUCLG2","K01900","succinate-CoA ligase GDP-forming subunit beta","6.2.1.4 6.2.1.5","8801","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"83","SUCLA2","K01900","succinate-CoA ligase ADP-forming subunit beta","6.2.1.4 6.2.1.5","8803","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"84","SDHA","K00234","succinate dehydrogenase complex flavoprotein subunit A","1.3.5.1","6389","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"85","SDHB","K00235","succinate dehydrogenase complex iron sulfur subunit B","1.3.5.1","6390","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"86","SDHC","succinate dehydrogenase complex subunit C [KO:K00236]","succinate dehydrogenase complex subunit C","succinate dehydrogenase complex subunit C [KO:K00236]","6391","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"87","SDHD","succinate dehydrogenase complex subunit D [KO:K00237]","succinate dehydrogenase complex subunit D","succinate dehydrogenase complex subunit D [KO:K00237]","6392","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"88","FH","K01679","fumarate hydratase","4.2.1.2","2271","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"89","MDH1","K00025","malate dehydrogenase 1","1.1.1.37","4190","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"90","MDH2","K00026","malate dehydrogenase 2","1.1.1.37","4191","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"91","PC","K01958","pyruvate carboxylase","6.4.1.1","5091","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"92","PCK1","K01596","phosphoenolpyruvate carboxykinase 1","4.1.1.32","5105","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"93","PCK2","K01596","phosphoenolpyruvate carboxykinase 2, mitochondrial","4.1.1.32","5106","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"94","PDHA2","K00161","pyruvate dehydrogenase E1 subunit alpha 2","1.2.4.1","5161","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"95","PDHA1","K00161","pyruvate dehydrogenase E1 subunit alpha 1","1.2.4.1","5160","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"96","PDHB","K00162","pyruvate dehydrogenase E1 subunit beta","1.2.4.1","5162","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"97","DLAT","K00627","dihydrolipoamide S-acetyltransferase","2.3.1.12","1737","hsa00020","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism"
"98","GPI","K01810","glucose-6-phosphate isomerase","5.3.1.9","2821","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"99","G6PD","K00036","glucose-6-phosphate dehydrogenase","1.1.1.49 1.1.1.363","2539","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"100","PGLS","K01057","6-phosphogluconolactonase","3.1.1.31","25796","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"101","H6PD","K13937","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase","1.1.1.47 3.1.1.31","9563","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"102","PGD","K00033","phosphogluconate dehydrogenase","1.1.1.44 1.1.1.343","5226","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"103","RPE","K01783","ribulose-5-phosphate-3-epimerase","5.1.3.1","6120","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"104","RPEL1","K01783","ribulose-5-phosphate-3-epimerase like 1","5.1.3.1","729020","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"105","TKT","K00615","transketolase","2.2.1.1","7086","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"106","TKTL2","K00615","transketolase like 2","2.2.1.1","84076","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"107","TKTL1","K00615","transketolase like 1","2.2.1.1","8277","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"108","TALDO1","K00616","transaldolase 1","2.2.1.2","6888","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"109","RPIA","K01807","ribose 5-phosphate isomerase A","5.3.1.6","22934","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"110","SHPK","K11214","sedoheptulokinase","2.7.1.14","23729","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"111","DERA","K01619","deoxyribose-phosphate aldolase","4.1.2.4","51071","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"112","RBKS","K00852","ribokinase","2.7.1.15","64080","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"113","PGM1","K01835","phosphoglucomutase 1","5.4.2.2","5236","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"114","PGM2","K15779","phosphoglucomutase 2","5.4.2.2 5.4.2.7","55276","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"115","PRPS1L1","K00948","phosphoribosyl pyrophosphate synthetase 1 like 1","2.7.6.1","221823","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"116","PRPS2","K00948","phosphoribosyl pyrophosphate synthetase 2","2.7.6.1","5634","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"117","PRPS1","K00948","phosphoribosyl pyrophosphate synthetase 1","2.7.6.1","5631","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"118","RGN","K01053","regucalcin","3.1.1.17","9104","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"119","IDNK","K00851","IDNK gluconokinase","2.7.1.12","414328","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"120","GLYCTK","K11529","glycerate kinase","2.7.1.165","132158","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"121","ALDOC","K01623","aldolase, fructose-bisphosphate C","4.1.2.13","230","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"122","ALDOA","K01623","aldolase, fructose-bisphosphate A","4.1.2.13","226","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"123","ALDOB","K01623","aldolase, fructose-bisphosphate B","4.1.2.13","229","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"124","FBP1","K03841","fructose-bisphosphatase 1","3.1.3.11","2203","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"125","FBP2","K03841","fructose-bisphosphatase 2","3.1.3.11","8789","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"126","PFKM","K00850","phosphofructokinase, muscle","2.7.1.11","5213","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"127","PFKP","K00850","phosphofructokinase, platelet","2.7.1.11","5214","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"128","PFKL","K00850","phosphofructokinase, liver type","2.7.1.11","5211","hsa00030","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism"
"129","GUSB","K01195","glucuronidase beta","3.2.1.31","2990","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"130","KL","K14756","klotho","3.2.1.31","9365","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"131","UGT2A1","K00699","UDP glucuronosyltransferase family 2 member A1 complex locus","2.4.1.17","10941","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"132","UGT2A3","K00699","UDP glucuronosyltransferase family 2 member A3","2.4.1.17","79799","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"133","UGT2B17","K00699","UDP glucuronosyltransferase family 2 member B17","2.4.1.17","7367","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"134","UGT2B11","K00699","UDP glucuronosyltransferase family 2 member B11","2.4.1.17","10720","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"135","UGT2B28","K00699","UDP glucuronosyltransferase family 2 member B28","2.4.1.17","54490","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"136","UGT1A6","K00699","UDP glucuronosyltransferase family 1 member A6","2.4.1.17","54578","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"137","UGT1A4","K00699","UDP glucuronosyltransferase family 1 member A4","2.4.1.17","54657","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"138","UGT1A1","K00699","UDP glucuronosyltransferase family 1 member A1","2.4.1.17","54658","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"139","UGT1A3","K00699","UDP glucuronosyltransferase family 1 member A3","2.4.1.17","54659","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"140","UGT2B10","K00699","UDP glucuronosyltransferase family 2 member B10","2.4.1.17","7365","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"141","UGT1A9","K00699","UDP glucuronosyltransferase family 1 member A9","2.4.1.17","54600","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"142","UGT2B7","K00699","UDP glucuronosyltransferase family 2 member B7","2.4.1.17","7364","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"143","UGT1A10","K00699","UDP glucuronosyltransferase family 1 member A10","2.4.1.17","54575","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"144","UGT1A8","K00699","UDP glucuronosyltransferase family 1 member A8","2.4.1.17","54576","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"145","UGT1A5","K00699","UDP glucuronosyltransferase family 1 member A5","2.4.1.17","54579","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"146","UGT2B15","K00699","UDP glucuronosyltransferase family 2 member B15","2.4.1.17","7366","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"147","UGT1A7","K00699","UDP glucuronosyltransferase family 1 member A7","2.4.1.17","54577","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"148","UGT2B4","K00699","UDP glucuronosyltransferase family 2 member B4","2.4.1.17","7363","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"149","UGT2A2","K00699","UDP glucuronosyltransferase family 2 member A2","2.4.1.17","574537","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"150","UGDH","K00012","UDP-glucose 6-dehydrogenase","1.1.1.22","7358","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"151","UGP2","K00963","UDP-glucose pyrophosphorylase 2","2.7.7.9","7360","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"152","AKR1A1","K00002","aldo-keto reductase family 1 member A1","1.1.1.2","10327","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"153","CRYL1","K13247","crystallin lambda 1","1.1.1.45","51084","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"154","RPE","K01783","ribulose-5-phosphate-3-epimerase","5.1.3.1","6120","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"155","RPEL1","K01783","ribulose-5-phosphate-3-epimerase like 1","5.1.3.1","729020","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"156","XYLB","K00854","xylulokinase","2.7.1.17","9942","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"157","AKR1B1","K00011","aldo-keto reductase family 1 member B","1.1.1.21","231","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"158","AKR1B10","K00011","aldo-keto reductase family 1 member B10","1.1.1.21","57016","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"159","AKR1B15","K00011","aldo-keto reductase family 1 member B15","1.1.1.21","441282","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"160","DCXR","K03331","dicarbonyl and L-xylulose reductase","1.1.1.10","51181","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"161","SORD","K00008","sorbitol dehydrogenase","1.1.1.14","6652","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"162","DHDH","K00078","dihydrodiol dehydrogenase","1.3.1.20 1.1.1.179","27294","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"163","FGGY","K00875","FGGY carbohydrate kinase domain containing","2.7.1.47","55277","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"164","CRPPA","K21031","CDP-L-ribitol pyrophosphorylase A","2.7.7.40","729920","hsa00040","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism"
"165","MPI","K01809","mannose phosphate isomerase","5.3.1.8","4351","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
"166","PMM2","K17497","phosphomannomutase 2","5.4.2.8","5373","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
"167","PMM1","K17497","phosphomannomutase 1","5.4.2.8","5372","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
"168","GMPPB","K00966","GDP-mannose pyrophosphorylase B","2.7.7.13","29925","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
"169","GMPPA","K00966","GDP-mannose pyrophosphorylase A","2.7.7.13","29926","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
"170","GMDS","K01711","GDP-mannose 4,6-dehydratase","4.2.1.47","2762","hsa00051","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism"
